SessionID,ConceptA,ConceptB,Weight,Duration,QstNr
351cf276-1d6b-4d00-8252-d5dff98535a8,Schule,Lehrer,10,2757,0
351cf276-1d6b-4d00-8252-d5dff98535a8,Physik,Photosynthese,9,3030,1
351cf276-1d6b-4d00-8252-d5dff98535a8,Physik,Fahrrad,5,2387,2
351cf276-1d6b-4d00-8252-d5dff98535a8,Ast,Fahrrad,1,2332,3
351cf276-1d6b-4d00-8252-d5dff98535a8,Schule,Laub,1,2786,4
351cf276-1d6b-4d00-8252-d5dff98535a8,Ast,Lehrer,1,2153,5
351cf276-1d6b-4d00-8252-d5dff98535a8,Baum,Infrastruktur,3,2855,6
351cf276-1d6b-4d00-8252-d5dff98535a8,Baum,Physik,4,3432,7
351cf276-1d6b-4d00-8252-d5dff98535a8,Schule,Ast,1,1842,8
351cf276-1d6b-4d00-8252-d5dff98535a8,Physik,Ast,2,2834,9
351cf276-1d6b-4d00-8252-d5dff98535a8,Schule,Baum,2,1649,10
351cf276-1d6b-4d00-8252-d5dff98535a8,Erde,Infrastruktur,1,3234,11
351cf276-1d6b-4d00-8252-d5dff98535a8,Baum,Fahrrad,3,2448,12
351cf276-1d6b-4d00-8252-d5dff98535a8,Infrastruktur,Lehrer,3,3323,13
351cf276-1d6b-4d00-8252-d5dff98535a8,Baum,Ast,10,2046,14
351cf276-1d6b-4d00-8252-d5dff98535a8,Schule,Fahrrad,8,2247,15
351cf276-1d6b-4d00-8252-d5dff98535a8,Schule,Erde,1,3998,16
351cf276-1d6b-4d00-8252-d5dff98535a8,Erde,Physik,2,2988,17
351cf276-1d6b-4d00-8252-d5dff98535a8,Laub,Ast,9,1771,18
351cf276-1d6b-4d00-8252-d5dff98535a8,Erde,Fahrrad,2,3416,19
351cf276-1d6b-4d00-8252-d5dff98535a8,Infrastruktur,Photosynthese,1,3658,20
351cf276-1d6b-4d00-8252-d5dff98535a8,Erde,Lehrer,1,2463,21
351cf276-1d6b-4d00-8252-d5dff98535a8,Baum,Lehrer,1,4341,22
351cf276-1d6b-4d00-8252-d5dff98535a8,Physik,Infrastruktur,1,4690,23
351cf276-1d6b-4d00-8252-d5dff98535a8,Laub,Physik,2,3862,24
351cf276-1d6b-4d00-8252-d5dff98535a8,Erde,Ast,2,1925,25
351cf276-1d6b-4d00-8252-d5dff98535a8,Schule,Photosynthese,8,2425,26
351cf276-1d6b-4d00-8252-d5dff98535a8,Erde,Photosynthese,2,2275,27
351cf276-1d6b-4d00-8252-d5dff98535a8,Laub,Fahrrad,1,2486,28
351cf276-1d6b-4d00-8252-d5dff98535a8,Baum,Photosynthese,10,2027,29
351cf276-1d6b-4d00-8252-d5dff98535a8,Laub,Erde,6,3483,30
351cf276-1d6b-4d00-8252-d5dff98535a8,Schule,Physik,9,2063,31
351cf276-1d6b-4d00-8252-d5dff98535a8,Laub,Baum,10,1614,32
351cf276-1d6b-4d00-8252-d5dff98535a8,Laub,Infrastruktur,1,3680,33
351cf276-1d6b-4d00-8252-d5dff98535a8,Photosynthese,Fahrrad,1,2111,34
351cf276-1d6b-4d00-8252-d5dff98535a8,Laub,Lehrer,1,1640,35
351cf276-1d6b-4d00-8252-d5dff98535a8,Infrastruktur,Ast,1,1839,36
351cf276-1d6b-4d00-8252-d5dff98535a8,Infrastruktur,Fahrrad,2,2118,37
351cf276-1d6b-4d00-8252-d5dff98535a8,Physik,Lehrer,9,2684,38
